VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchasRatio,UnsoldInventoryValue
9552,M S WALKER INC             ,3769,Jenkins Vodka,7.02,9.49,1750,42549,298693.98,41196.0,385962.54,132189.72,75688.38,55551.82,87268.56,22.610629518605617,0.9682013678347318,1.2921671203416956,9498.06
8673,STE MICHELLE WINE ESTATES  ,8815,Ch Ste Michelle Chard Colmbi,6.07,8.99,750,48853,296537.71,47515.0,422391.63,95427.3,5329.51,15919.7,125853.91999999998,29.79555253024308,0.9726117126890876,1.4244111819707517,8121.660000000001
3960,DIAGEO NORTH AMERICA INC   ,3879,Smirnoff 80 Proof Traveler,7.91,12.99,750,37344,295391.04,36112.0,421218.88,183851.89,28428.14,257032.07,125827.84000000003,29.87231721427112,0.9670094258783205,1.4259704018104273,9745.12
12546,JIM BEAM BRANDS COMPANY    ,1375,Jim Beam,11.5,14.49,750,25183,289604.5,25580.0,393623.7,198691.96,20143.65,123880.97,104019.20000000001,26.426051073652324,1.0157646031052694,1.3591767393117165,-4565.5
8892,TRINCHERO FAMILY ESTATES   ,41034,Menage a Trois Red,5.26,8.99,750,54738,287921.88,53161.0,495197.03,129934.08,5957.51,11595.97,207275.15000000002,41.85710685704234,0.9711900325185429,1.7199006549971125,8295.02
1128,BROWN-FORMAN CORP          ,1545,Gentleman Jack,19.42,29.99,750,14785,287124.7,13940.0,407545.6,246119.09999999998,10981.78,68601.68,120420.89999999997,29.547834647214934,0.9428474805546162,1.4194027891017387,16409.9
480,BACARDI USA INC            ,2665,Dewars White Label,15.38,19.99,750,18574,285668.12,18482.0,388227.18,210460.97999999998,14556.94,89286.27,102559.06,26.41727969690324,0.9950468396683536,1.3590147195983926,1414.96
1128,BROWN-FORMAN CORP          ,1770,Jack Daniels Tennessee Fire,26.42,38.99,1750,10746,283909.32,9813.0,377539.87,227236.98,18034.29,68601.68,93630.54999999999,24.800175409288556,0.913176996091569,1.329790335872031,24649.86
4425,MARTIGNETTI COMPANIES,6595,Bogle Merlot,4.48,6.95,750,63188,283082.24,60589.0,487993.85,107078.96,6797.610000000001,144929.24,204911.61,41.99061320137539,0.9588687725517503,1.723858939366878,11643.52
1392,CONSTELLATION BRANDS INC   ,35472,R M Woodbridge Pnt Grigio,5.88,8.99,1500,47207,277577.16,45587.0,458771.13,124769.15000000001,10236.630000000001,79528.99,181193.97000000003,39.495504000001056,0.9656830554790603,1.6527697379712367,9525.6
8004,SAZERAC CO INC             ,5105,Dr McGillicuddy's Mentholmnt,14.81,25.99,1750,18007,266683.67,16782.0,379404.18,195400.65,30838.03,50293.62,112720.51000000001,29.709875626567957,0.9319709002054757,1.4226749616877554,18142.25
